HAVE_MILITARY_SCORE_LESS_THAN;Очки военной мощи меньше;X
STRATA_NEED_LESS_THAN;Нужды удовлетворены менее чем на;X
STRATA_NEED_MORE_THAN;Нужды удовлетворены как минимум на;X
HAVE_LESS_POPS_WANTING_POLITICAL_REFORM_THAN;Меньше $VAL$ населения желает политических реформ;X
HAVE_MORE_POPS_WANTING_POLITICAL_REFORM_THAN;Как минимум $VAL$ населения желает политических реформ;X
HAVE_LESS_POPS_WANTING_SOCIAL_REFORM_THAN;Меньше $VAL$ населения желает социальных реформ;X
HAVE_MORE_POPS_WANTING_SOCIAL_REFORM_THAN;Как минимум $VAL$ населения желает социальных реформ;X
CSA_proletarian_dictatorship;СКША;X
USA_presidential_dictatorship;США;X
CSA_presidential_dictatorship;КША;X
USA_bourgeois_dictatorship;США;X
CSA_bourgeois_dictatorship;КША;X
USA_fascist_dictatorship;США;X
LPL;Ла-Плата;X
AND;Андская Федерация;X
CSA_fascist_dictatorship;КША;X
REMOVE_USA_prussian_constitutionalism;СКСА;X
CSA_prussian_constitutionalism;НКСА;X
USA_democracy;США;X
CSA_democracy;КША;X
CAL_absolute_monarchy;Королевство Калифорния;X
CAL_hms_government;Королевство Калифорния;X
DOM_absolute_monarchy;Санто-Доминго;X
DOM_hms_government;Санто-Доминго;X
ENG_democracy;Британская федерация;X
TECH_DAILY_LEADERSHIP_BASE_TOOLTIP;Базовое число очков лидерства в месяц: §Y$VALUE$§W;X
TECH_DAILY_LEADERSHIP_TOTAL_TOOLTIP;Ежемесячное число очков лидерства: §G+$VALUE$§W;X
TECH_DAILY_LEADERSHIP_TOOLTIP;$POPTYPE$ обеспечивают нам §G$VALUE$§W очков лидерства\n(они составляют §Y$FRACTION$%§W населения при оптимальных $OPTIMAL$%).;X
MODIFIER_CORE_POP_MILITANCY_MODIFIER;Агрессивность в неколониальных регионах;X
MODIFIER_CORE_POP_CONSCIOUSNESS_MODIFIER;Сознательность в неколониальных регионах;X
MODIFIER_NON_ACCEPTED_POP_MILITANCY_MODIFIER;Агрессивность непризнанных культур;X
MODIFIER_NON_ACCEPTED_POP_CONSCIOUSNESS_MODIFIER;Сознательность непризнанных культур;X
AUS_734;Южный Тироль;X
EVTNAME23212;Наблюдение кометы;X
EVTDESC23212;Недавно в нашем небе была зафиксирована комета. Некоторые уверены, что это предвестник будущего упадка. Другие верят, что это просто феи летят по небу. Третьи же полагают, что комета - это гигантский шар изо льда, летающий в космосе, а ее длинный хвост создается благодаря энергии солнца. Споры вокруг этих трех одинаково жизнеспособных теорий стимулируют научные поиски в нашей стране.;X
EVTOPTA23212;Слава богу, мы живем в просвещенное время;X
EVTNAME60140;Конституционный конвент;X
EVTDESC60140;Власть в нашей стране полностью находится в руках либералов, и они полагают, что пришла пора для созыва конституционного конвента. Точка зрения каждого человека, ну, или, по крайней мере, всех, чье мнение действительно является важным, будет представлена в этом новом собрании, призванным определить дальнейший путь нашей славной державы.;X
EVTOPTA60140;Иначе люди воспользуются ситуацией в своих целях;X
become_guatemala_title;Провозглашение Гватемалы;X
BUDGET_STOCKPILE_YESTERDAYS;Приобретенные за прошедший день товары:;X
become_guatemala_desc;Мечта об объединенном центрально-американском государстве канула в лету. Другие провинции были слишком озабочены доминирующим положением Гватемалы, чтобы оценить те жертве, которые мы приносили ради сохранения союза. Больше такого не будет. Мы покончили с этим. Отныне Гватемала будет одна искать свою судьбу.;X
MOR_1683;Таза;X
LAG_PAUSE;Игрок $PLAYER$ отстает, и нажимает на паузу.;X
LAG_DECREASE_SPEED;Игрок $PLAYER$ отстает, и уменьшает скорость.;X
PAUSED_BY;Пауза нажата игроком §Y$PLAYER$§W.;X
WARGOAL_OTHER_ACCEPT_SETUP;Одна держава расширяет свою войну против другой;X
WARGOAL_THEY_ACCEPT_SETUP;Мы расширяем свою войну против другой державы;X
WARGOAL_WE_ACCEPT_SETUP;Другая держава расширяет свою войну против нас;X
status_quo_setup;Мы требуем лишь оставить нас в покое.;X
army_1;Генеральный штаб нового века;X
army_2;Оружие современного стандарта;X
army_3;Самоходная артиллерия;X
army_4;Штабное командование;X
army_5;Шок и трепет;X
navy_1;Верфь нового поколения;X
navy_2;Авианосные группы;X
navy_3;Ракетное вооружение;X
navy_4;Командование из центра;X
navy_5;Новая дисциплина;X
commerce_1;Глобальные торговые сети;X
commerce_2;Финансовый капитализм;X
commerce_3;Великая депрессия;X
commerce_5;Монополия рынка;X
culture_1;Культурный экспансионизм;X
culture_2;Модернизм;X
culture_3;Массовое образование;X
culture_4;Идеология современности;X
culture_5;Когнитивная психология;X
industry_1;Электризация предприятий;X
GNG;Гуандун;X;
GNG_ADJ;Гуандунск.;X;
GNG_liberal;Либеральная партия;X;
GNG_conservative;Консервативная партия;X;
GNG_socialist;Социалистическая партия;X;
GNG_communist;Коммунистическая партия;X;
GNG_reactionary;Реакционная партия;X;
GNG_fascist;Фашистская партия;X;
GNG_anarcho_liberal;Радикальная партия;X;
HNN;Хунань;X;
HNN_ADJ;Хунаньск.;X;
HNN_liberal;Либеральная партия;X;
HNN_conservative;Консервативная партия;X;
HNN_socialist;Социалистическая партия;X;
HNN_communist;Коммунистическая партия;X;
HNN_reactionary;Реакционная партия;X;
HNN_fascist;Фашистская партия;X;
HNN_anarcho_liberal;Радикальная партия;X;
KMT;Гоминьдан;X;
KMT_ADJ;Гоминьданск.;X;
KMT_liberal;Либеральная партия;X;
KMT_conservative;Консервативная партия;X;
KMT_socialist;Социалистическая партия;X;
KMT_communist;Коммунистическая партия;X;
KMT_reactionary;Реакционная партия;X;
KMT_fascist;Фашистская партия;X;
KMT_anarcho_liberal;Радикальная партия;X;
SZC;Сычуань;X;
SZC_ADJ;Сычуаньск.;X;
SZC_liberal;Либеральная партия;X;
SZC_conservative;Консервативная партия;X;
SZC_socialist;Социалистическая партия;X;
SZC_communist;Коммунистическая партия;X;
SZC_reactionary;Реакционная партия;X;
SZC_fascist;Фашистская партия;X;
SZC_anarcho_liberal;Радикальная партия;X;
FJN;Фуцзянь;X;
FJN_ADJ;Фуцзяньск.;X;
FJN_liberal;Либеральная партия;X;
FJN_conservative;Консервативная партия;X;
FJN_socialist;Социалистическая партия;X;
FJN_communist;Коммунистическая партия;X;
FJN_reactionary;Реакционная партия;X;
FJN_fascist;Фашистская партия;X;
FJN_anarcho_liberal;Радикальная партия;X;
GMJ;Гоминьцзюнь;X;
GMJ_ADJ;Гоминьцзюньск.;X;
GMJ_liberal;Либеральная партия;X;
GMJ_conservative;Консервативная партия;X;
GMJ_socialist;Социалистическая партия;X;
GMJ_communist;Коммунистическая партия;X;
GMJ_reactionary;Реакционная партия;X;
GMJ_fascist;Фашистская партия;X;
GMJ_anarcho_liberal;Радикальная партия;X;
TAI;Тайвань;X;
TAI_ADJ;Тайваньск.;X;
TAI_liberal;Либеральная партия;X;
TAI_conservative;Консервативная партия;X;
TAI_socialist;Социалистическая партия;X;
TAI_communist;Коммунистическая партия;X;
TAI_reactionary;Реакционная партия;X;
TAI_fascist;Фашистская партия;X;
TAI_anarcho_liberal;Радикальная партия;X;
ANU;Аньхойская клика;X;
ANU_ADJ;Аньхойск.;X;
ANU_liberal;Либеральная партия;X;
ANU_conservative;Клуб Аньфу;X;
ANU_socialist;Социалистическая партия;X;
ANU_communist;Коммунистическая партия;X;
ANU_reactionary;Реакционная партия;X;
ANU_fascist;Фашистская партия;X;
ANU_anarcho_liberal;Радикальная партия;X;
ZHI;Чжилийская клика;X;
ZHI_ADJ;Чжилийск.;X;
ZHI_liberal;Либеральная партия;X;
ZHI_conservative;Сторонники Фэн Гочжана;X;
ZHI_socialist;Социалистическая партия;X;
ZHI_communist;Коммунистическая партия;X;
ZHI_reactionary;Реакционная партия;X;
ZHI_fascist;Фашистская партия;X;
ZHI_anarcho_liberal;Радикальная партия;X;
industry_2;Конвейерное производство;X
industry_3;Гидрометаллургия;X
industry_4;Скоростные поезда;X
industry_5;Химическая индустрия;X
EIC;Британская Ост-Индская компания;X;X;X;X;X;X
EIC_ADJ;Ост-Индск.;X;X;X;X;X;X
EIC_conservative;Партия национального конгресса;X;X;X;X;X;X
EIC_liberal;Партия независимости;X;X;X;X;X;X
EIC_reactionary;Национальный фронт;X;X;X;X;X;X
EIC_anarcho_liberal;Партия свободы;X;X;X;X;X;X
EIC_socialist;Индийский национальный конгресс;X;X;X;X;X;X
EIC_communist;Коммунистическая партия;X;X;X;X;X;X
EIC_fascist;Партия единства;X;X;X;X;X;X
PROV3041;Аргентинское поднятие;X
TUR_819;Западная Македония;X
TUR_806;Северная Македония;X
GUNBOAT_OTHER_ACCEPT_LOG;Держава $ACTOR$ силой заставила державу $RECIPIENT$ выплачивать свой долг.;X
GUNBOAT_THEY_ACCEPT_LOG;Мы силой заставили державу $RECIPIENT$ выплачивать нам долг.;X
GUNBOAT_WE_ACCEPT_LOG;Мы приняли требование о выплате долга со стороны державы $ACTOR$.;X
